Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,FraudFound_P
Jun,2,Wednesday,Toyota,Urban,Thursday,Jun,2,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,less than 20000,12403,9,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
Jun,2,Thursday,Mazda,Urban,Thursday,Jun,3,Male,Single,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,12404,7,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
May,5,Monday,Mazda,Urban,Tuesday,May,5,Male,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12405,10,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
May,3,Wednesday,Pontiac,Urban,Tuesday,May,4,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12406,11,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision,0
May,3,Monday,Pontiac,Urban,Tuesday,May,3,Male,Married,27,Third Party,Sedan - Collision,Sedan,30000 to 39000,12407,14,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
May,3,Sunday,Accura,Urban,Monday,May,3,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,12408,1,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
May,1,Sunday,Accura,Urban,Tuesday,May,2,Male,Single,53,Policy Holder,Sedan - All Perils,Sedan,more than 69000,12409,16,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,0
May,1,Tuesday,Honda,Urban,Wednesday,May,1,Male,Married,62,Third Party,Sedan - Collision,Sedan,20000 to 29000,12410,3,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
Apr,5,Saturday,Toyota,Urban,Monday,May,1,Male,Married,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,12411,10,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
Apr,4,Sunday,Honda,Urban,Monday,Apr,4,Male,Married,27,Third Party,Sedan - Liability,Sport,20000 to 29000,12412,1,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1996,Liability,0
Apr,4,Sunday,Honda,Urban,Tuesday,Apr,4,Male,Single,33,Policy Holder,Sedan - Liability,Sport,30000 to 39000,12413,16,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
Apr,3,Friday,Ford,Urban,Thursday,Apr,4,Female,Married,44,Policy Holder,Sedan - Liability,Sport,40000 to 59000,12414,7,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1996,Liability,0
Apr,3,Thursday,Toyota,Urban,Wednesday,Apr,3,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12415,11,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
May,4,Monday,Toyota,Urban,Friday,May,4,Male,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12416,8,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,1
Apr,2,Monday,Chevrolet,Rural,Monday,Apr,2,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12417,5,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
Apr,2,Thursday,Accura,Urban,Thursday,Apr,3,Male,Married,33,Third Party,Sedan - Collision,Sedan,30000 to 39000,12418,12,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
May,4,Monday,Chevrolet,Urban,Wednesday,May,4,Male,Married,43,Third Party,Sedan - All Perils,Sedan,30000 to 39000,12419,8,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
Apr,1,Wednesday,Toyota,Urban,Thursday,Apr,2,Male,Married,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,12420,1,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
Apr,1,Sunday,Accura,Urban,Tuesday,Apr,1,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12421,4,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
Mar,5,Thursday,Mazda,Urban,Wednesday,Apr,1,Male,Single,56,Policy Holder,Utility - All Perils,Utility,more than 69000,12422,7,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
Mar,5,Thursday,Toyota,Rural,Wednesday,Apr,2,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12423,10,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
Mar,5,Monday,Pontiac,Rural,Wednesday,Apr,1,Male,Married,71,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12424,12,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,3 to 4,1996,Liability,0
Mar,4,Thursday,Toyota,Urban,Thursday,Apr,5,Male,Married,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,12425,16,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,0
Mar,3,Thursday,Mazda,Urban,Thursday,Mar,3,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12426,16,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
May,4,Tuesday,Chevrolet,Urban,Friday,May,4,Male,Married,77,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12427,13,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,1
Feb,4,Friday,Accura,Rural,Friday,Jun,3,Male,Married,59,Third Party,Utility - All Perils,Utility,more than 69000,12428,8,400,4,more than 30,more than 30,1,5 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
Feb,4,Friday,Toyota,Urban,Monday,Feb,5,Female,Single,29,Policy Holder,Sedan - All Perils,Sedan,less than 20000,12429,4,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,0
Feb,4,Friday,Pontiac,Urban,Friday,Feb,4,Male,Married,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12430,13,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,0
Feb,2,Saturday,Toyota,Urban,Tuesday,Feb,3,Male,Married,43,Third Party,Sedan - Liability,Sport,20000 to 29000,12431,7,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
Feb,2,Friday,Honda,Urban,Monday,Feb,3,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12432,11,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
May,4,Wednesday,Chevrolet,Urban,Wednesday,Jul,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12433,13,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Collision,1
Feb,2,Tuesday,Toyota,Urban,Thursday,Feb,2,Female,Single,25,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12434,14,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
Feb,2,Thursday,Chevrolet,Urban,Friday,Feb,2,Male,Married,31,Third Party,Sedan - All Perils,Sedan,more than 69000,12435,13,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
Feb,1,Tuesday,Pontiac,Urban,Tuesday,Feb,1,Male,Single,46,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,12436,2,400,2,more than 30,more than 30,none,more than 7,41 to 50,Yes,Yes,External,none,no change,1 vehicle,1996,All Perils,0
Jan,4,Monday,Honda,Urban,Wednesday,Jan,4,Male,Married,62,Third Party,Sedan - All Perils,Sedan,more than 69000,12437,2,400,4,more than 30,more than 30,none,new,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,0
Jan,4,Sunday,Honda,Urban,Thursday,Apr,4,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,12438,2,400,2,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Collision,0
Jan,2,Friday,Honda,Urban,Wednesday,Jan,4,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,12439,12,400,4,more than 30,more than 30,1,new,16 to 17,Yes,No,External,none,no change,1 vehicle,1996,All Perils,0
Nov,2,Monday,Ford,Urban,Thursday,Jan,3,Male,Married,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,12440,12,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
Mar,4,Sunday,Honda,Urban,Tuesday,Jul,2,Male,Single,0,Policy Holder,Sport - Collision,Sport,more than 69000,12441,10,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Collision,0
Apr,4,Friday,Ford,Urban,Monday,Apr,4,Male,Single,29,Third Party,Sedan - Collision,Sedan,less than 20000,12442,7,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
Jun,1,Saturday,Toyota,Rural,Monday,Jun,1,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12443,1,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
Jun,5,Thursday,Toyota,Urban,Thursday,Jun,5,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12444,14,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
Jun,5,Tuesday,Honda,Rural,Tuesday,Jul,1,Male,Married,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12445,8,500,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,1996,Liability,0
Jun,4,Monday,Toyota,Urban,Tuesday,Jun,5,Male,Married,76,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,12446,9,400,2,more than 30,more than 30,none,7 years,over 65,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
Aug,2,Tuesday,Chevrolet,Urban,Monday,Aug,3,Male,Married,42,Third Party,Sedan - All Perils,Sedan,less than 20000,12447,10,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
Aug,2,Tuesday,Honda,Urban,Wednesday,Aug,2,Female,Married,39,Third Party,Sport - Collision,Sport,more than 69000,12448,8,400,3,more than 30,more than 30,1,3 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
May,3,Friday,Pontiac,Urban,Wednesday,May,4,Female,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12449,8,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
May,4,Wednesday,Mazda,Urban,Wednesday,May,4,Male,Married,71,Third Party,Sedan - Collision,Sedan,30000 to 39000,12450,7,400,1,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1996,Collision,0
Mar,2,Wednesday,VW,Urban,Thursday,Mar,2,Female,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12451,15,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
Aug,5,Sunday,Pontiac,Urban,Monday,Aug,5,Male,Single,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12452,13,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
Sep,1,Sunday,Toyota,Urban,Tuesday,Sep,1,Male,Married,56,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12453,8,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
May,3,Tuesday,Toyota,Urban,Tuesday,May,3,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,less than 20000,12454,11,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,All Perils,0
Apr,3,Saturday,Honda,Urban,Thursday,Apr,3,Female,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,12455,7,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
May,4,Thursday,Honda,Urban,Monday,May,5,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12456,3,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,1
Nov,4,Saturday,Honda,Rural,Tuesday,Nov,5,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12457,8,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
Nov,3,Monday,Pontiac,Urban,Monday,Nov,3,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12458,16,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
Nov,2,Thursday,Pontiac,Urban,Wednesday,Nov,3,Male,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12459,15,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
Nov,2,Wednesday,Toyota,Urban,Monday,Nov,3,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12460,11,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
Sep,4,Thursday,Pontiac,Urban,Friday,Sep,4,Male,Married,60,Policy Holder,Sport - All Perils,Sport,20000 to 29000,12461,15,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,Yes,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
Aug,1,Saturday,Honda,Rural,Thursday,Aug,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,12462,7,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,1996,Liability,0
Aug,2,Monday,Toyota,Urban,Tuesday,Aug,2,Male,Married,56,Policy Holder,Sedan - All Perils,Sedan,less than 20000,12463,13,700,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,0
Jun,3,Wednesday,Pontiac,Urban,Thursday,Jun,3,Male,Single,24,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12464,5,400,4,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,Collision,0
Apr,4,Saturday,Pontiac,Urban,Thursday,May,1,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12465,9,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,3 to 4,1996,Collision,0
Jan,2,Thursday,Pontiac,Urban,Friday,Jan,5,Female,Married,53,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12466,10,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
Jan,1,Monday,Pontiac,Urban,Friday,Jan,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,less than 20000,12467,14,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
Dec,4,Monday,Pontiac,Urban,Monday,Jan,1,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12468,4,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,1 year,1 vehicle,1996,Collision,0
Mar,1,Thursday,Pontiac,Urban,Thursday,Mar,1,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12469,5,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
Jul,1,Friday,Toyota,Urban,Friday,Jul,1,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12470,4,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
Jul,1,Friday,Honda,Urban,Monday,Jul,1,Male,Single,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12471,4,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
Jun,3,Friday,Honda,Urban,Tuesday,Jul,3,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,more than 69000,12472,3,400,3,more than 30,more than 30,none,new,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,0
Jun,2,Tuesday,Pontiac,Urban,Tuesday,Jun,2,Female,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12473,12,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
Sep,2,Monday,Mazda,Rural,Monday,Sep,2,Male,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12474,2,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
Jan,2,Sunday,Chevrolet,Urban,Thursday,Jan,2,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12475,12,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Collision,0
Feb,3,Tuesday,Pontiac,Urban,Thursday,Mar,1,Male,Single,49,Third Party,Utility - All Perils,Utility,more than 69000,12476,9,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
Mar,4,Tuesday,Saab,Urban,Tuesday,Apr,2,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12477,4,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
Jun,1,Tuesday,Chevrolet,Urban,Thursday,Jun,2,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12478,2,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,0
May,3,Friday,Toyota,Urban,Tuesday,May,5,Male,Married,40,Third Party,Sedan - All Perils,Sedan,less than 20000,12479,10,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
Jun,3,Monday,Toyota,Urban,Wednesday,Jul,3,Male,Single,64,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12480,15,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Liability,0
Oct,4,Friday,Mazda,Urban,Thursday,Nov,1,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12481,9,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
Oct,4,Monday,Pontiac,Rural,Monday,Oct,4,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,12482,12,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
Oct,2,Friday,Toyota,Urban,Thursday,Oct,3,Male,Married,26,Third Party,Sedan - All Perils,Sedan,20000 to 29000,12483,6,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
May,4,Friday,Pontiac,Urban,Wednesday,May,5,Male,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,12484,15,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
Apr,2,Wednesday,Accura,Urban,Tuesday,May,2,Female,Single,44,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,12485,16,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
Mar,5,Wednesday,Toyota,Urban,Wednesday,Apr,1,Male,Married,54,Policy Holder,Sedan - Liability,Sport,30000 to 39000,12486,5,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
Mar,5,Wednesday,Honda,Urban,Monday,Apr,1,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12487,13,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
Mar,5,Tuesday,Toyota,Urban,Thursday,Mar,5,Male,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12488,13,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,0
Mar,3,Monday,Toyota,Urban,Tuesday,Mar,4,Male,Married,71,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,12489,8,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
Mar,2,Friday,Toyota,Urban,Tuesday,Mar,3,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12490,8,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
Mar,2,Wednesday,Toyota,Urban,Friday,Mar,2,Female,Married,38,Third Party,Sedan - All Perils,Sedan,more than 69000,12491,15,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
Mar,1,Friday,Pontiac,Urban,Tuesday,Mar,3,Male,Married,45,Third Party,Sedan - All Perils,Sedan,20000 to 29000,12492,6,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
Mar,1,Sunday,Accura,Urban,Thursday,Mar,2,Male,Married,52,Third Party,Sedan - All Perils,Sedan,30000 to 39000,12493,3,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,0
Feb,5,Tuesday,Mazda,Urban,Wednesday,Mar,1,Female,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12494,14,400,1,more than 30,more than 30,none,4 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
Feb,4,Saturday,Toyota,Urban,Monday,Mar,3,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,12495,4,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
Feb,4,Friday,Honda,Urban,Thursday,Mar,1,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,12496,7,500,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,2 to 3 years,2 vehicles,1996,All Perils,0
Oct,1,Monday,Honda,Urban,Thursday,Oct,2,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12497,6,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
Jul,3,Saturday,Pontiac,Urban,Monday,Jul,3,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12498,13,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
Jun,1,Monday,Toyota,Urban,Tuesday,Jun,2,Male,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12499,4,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
May,2,Tuesday,Honda,Urban,Tuesday,May,3,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12500,15,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,0
May,2,Monday,Pontiac,Urban,Friday,May,2,Male,Married,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12501,4,400,4,more than 30,more than 30,2 to 4,5 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,0
Mar,4,Friday,Honda,Urban,Wednesday,Apr,2,Male,Married,28,Third Party,Sedan - All Perils,Sedan,20000 to 29000,12502,6,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
Mar,3,Sunday,Chevrolet,Urban,Monday,Mar,4,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12503,16,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,0
May,4,Friday,Mazda,Urban,Friday,May,4,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12504,7,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,1
Mar,3,Sunday,Toyota,Urban,Tuesday,Apr,3,Female,Married,48,Third Party,Sedan - All Perils,Sedan,20000 to 29000,12505,5,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
Mar,1,Wednesday,Mazda,Urban,Monday,Mar,2,Male,Married,49,Third Party,Sedan - Liability,Sport,30000 to 39000,12506,4,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,3 to 4,1996,Liability,0
Mar,1,Tuesday,Pontiac,Urban,Tuesday,Mar,1,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12507,5,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
May,4,Friday,Honda,Urban,Tuesday,May,5,Male,Married,55,Third Party,Sport - Collision,Sport,more than 69000,12508,7,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,0
